GAME_ID,game_number,H_A,team_name,player_id,person_id,name,birthdate,birthdate_year,jersey_number,position_str,shots,shots_on,goals,assists,EVprimarypoints,primarypoints,plusminus,hits,pim,EV_G,EV_A1,EV_A2,PP_G,PP_A1,PP_A2,SH_G,SH_A1,SH_A2,EV_GF,EV_GA,EV_GF%,faceoff_wins,faceoff_attempts
1018604,1,H,Edmonton Oil Kings,28932,9374,Carter Kowalyk,0,0,2,LD,0,0,0,0,0.0,0.0,-1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0
1018604,1,H,Edmonton Oil Kings,28766,9135,Ethan Peters,2003-04-22 00:00:00,2003,7,RD,0,0,0,0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
1018604,1,H,Edmonton Oil Kings,28842,9250,Braeden Wynne,0,0,8,RD,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0,0
1018604,1,H,Edmonton Oil Kings,28125,8402,Carson Golder,2002-10-29 00:00:00,2002,9,LW,3,3,0,1,1.0,1.0,+1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
1018604,1,H,Edmonton Oil Kings,28844,9252,John Szabo,0,0,12,C,1,1,0,0,0.0,0.0,-1,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,10
1018604,1,H,Edmonton Oil Kings,29204,9703,Marshall Finnie,0,0,14,C,2,2,0,0,0.0,0.0,-1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0
1018604,1,H,Edmonton Oil Kings,28741,9108,Cole Miller,0,0,15,C,3,3,1,0,0.0,1.0,-1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5,14
1018604,1,H,Edmonton Oil Kings,29075,9559,Gavin Hodnett,0,0,17,C,0,0,0,0,0.0,0.0,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,5
1018604,1,H,Edmonton Oil Kings,29154,9652,Luca Hauf,0,0,18,LW,0,0,0,0,0.0,0.0,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3,3
1018604,1,H,Edmonton Oil Kings,28806,9200,Dawson Seitz,0,0,20,RW,5,5,0,1,0.0,1.0,-1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0
1018604,1,H,Edmonton Oil Kings,27909,8107,Logan Dowhaniuk,2002-06-20 00:00:00,2002,24,LD,4,4,0,0,0.0,0.0,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0
1018604,1,H,Edmonton Oil Kings,28845,9253,Ben Wright,0,0,25,LW,1,1,0,0,0.0,0.0,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0
1018604,1,H,Edmonton Oil Kings,28497,8848,Rhett Melnyk,0,0,27,RW,1,1,0,1,0.0,0.0,+1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,13,23
1018604,1,H,Edmonton Oil Kings,28926,9368,Mason Finley,0,0,29,RW,3,3,1,0,1.0,1.0,+1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1
1018604,1,H,Edmonton Oil Kings,28004,8246,Reed Jacobson,0,0,32,LW,3,3,0,0,0.0,0.0,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2
1018604,1,H,Edmonton Oil Kings,29206,9705,Reid Larson,0,0,37,LD,1,1,0,0,0.0,0.0,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0
1018604,1,H,Edmonton Oil Kings,28808,9202,Shea Van Olm,2004-03-05 00:00:00,2004,39,LW,2,2,0,0,0.0,0.0,-2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0
1018604,1,H,Edmonton Oil Kings,29207,9706,Ethan MacKenzie,0,0,47,LD,1,1,0,1,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0
1018604,1,A,Red Deer Rebels,28383,8704,Blake Gustafson,2002-05-21 00:00:00,2002,3,D,3,3,0,0,0.0,0.0,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0
1018604,1,A,Red Deer Rebels,28390,8711,Hunter Mayo,2004-05-07 00:00:00,2004,5,D,2,2,2,1,1.0,2.0,+3,0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0,0
1018604,1,A,Red Deer Rebels,28717,9068,Matteo Fabrizi,2005-03-23 00:00:00,2005,6,D,1,1,0,0,0.0,0.0,+1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
1018604,1,A,Red Deer Rebels,29234,9734,Vojtech Port,0,0,7,RD,0,0,0,0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0
1018604,1,A,Red Deer Rebels,28388,8709,Jace Weir,2004-05-21 00:00:00,2004,8,D,1,1,0,0,0.0,0.0,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0
1018604,1,A,Red Deer Rebels,29098,9582,Frantisek Formanek,2004-05-06 00:00:00,2004,10,RW,1,1,0,0,0.0,0.0,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2
