,GAME_ID,game_number,H_A,team_name,player_id,person_id,name,birthdate,birthdate_year,jersey_number,position_str,shots,goals,assists,points,primarypoints,5v5primarypoints,EVprimarypoints,plusminus,hits,pim,5v5_G,5v5_A1,5v5_A2,EV_G,EV_A1,EV_A2,PP_G,PP_A1,PP_A2,SH_G,SH_A1,SH_A2,5v5_GF,5v5_GA,5v5_GF%,faceoff_wins,faceoff_attempts,birth_date,OA_x,homeprov,homecntry,OA_y
0,1019409,0,H,Red Deer Rebels,28384,8705,Christoffer Sedoff,2002-02-20,2002,4,D,3,0,0,0,0.0,0.0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0,0,2002-02-20, ,,,
1,1019409,0,H,Red Deer Rebels,28390,8711,Hunter Mayo,2004-05-07,2004,5,D,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,2004-05-07, ,,,
2,1019409,0,H,Red Deer Rebels,28717,9068,Matteo Fabrizi,2005-03-23,2005,6,D,0,0,0,0,0.0,0.0,0.0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,2005-03-23, ,,,
3,1019409,0,H,Red Deer Rebels,28388,8709,Jace Weir,2004-05-21,2004,8,D,1,0,0,0,0.0,0.0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0,0,2004-05-21, ,,,
4,1019409,0,H,Red Deer Rebels,28126,8404,Jayden Grubbe,2003-01-12,2003,9,C,4,1,0,1,1.0,1.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,17,25,2003-01-12, ,,,
5,1019409,0,H,Red Deer Rebels,29098,9582,Frantisek Formanek,2004-05-06,2004,10,RW,4,1,0,1,1.0,1.0,1.0,2,0,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0,0,2004-05-06, ,,,
6,1019409,0,H,Red Deer Rebels,28170,8448,Craig Armstrong,2003-06-05,2003,11,RW,1,0,0,0,0.0,0.0,0.0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2,3,2003-06-05, ,,,
7,1019409,0,H,Red Deer Rebels,28768,9138,Kalan Lind,2005-01-25,2005,13,C,4,0,1,1,1.0,1.0,1.0,2,0,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0,0,2005-01-25, ,,,
8,1019409,0,H,Red Deer Rebels,29238,9738,Carson Birnie,2005-02-22,2005,15,LW,2,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,2005-02-22, ,,,
9,1019409,0,H,Red Deer Rebels,28924,9366,Ryker Singer,2005-04-19,2005,16,C,0,0,0,0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,2005-04-19, ,,,
10,1019409,0,H,Red Deer Rebels,29009,9488,Ollie Josephson,2006-07-22,2006,17,C,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,6,9,2006-07-22, ,,,
